sujeto,Time_s,RF,BF,VM,ST,FX
1Nmar,0.0,0.0007,-0.0083,0.0045,-0.0091,57.6
1Nmar,0.001,-0.0008,-0.0038,0.0007,-0.0046,57.5
1Nmar,0.002,-0.0008,-0.0068,0.0015,-0.0023,57.3
1Nmar,0.003,-0.0008,-0.0053,0.0045,-0.0038,57.1
1Nmar,0.004,0.0007,0.0015,0.0082,-0.0075,56.9
1Nmar,0.005,0.003,0.0052,0.009,-0.0083,56.7
1Nmar,0.006,0.0015,0.003,0.0067,-0.0038,56.5
1Nmar,0.007,0.0015,0.0022,0.0022,-0.0023,56.3
1Nmar,0.008,0.0015,0.003,-0.0008,0.0015,56.1
1Nmar,0.009,0.0022,0.0045,-0.0008,0.0082,55.9
1Nmar,0.01,0.0022,0.0067,-0.0023,0.0082,55.7
1Nmar,0.011,0.0,0.006,0.0007,0.0007,55.5
1Nmar,0.012,0.0007,0.0045,0.0015,-0.0068,55.3
1Nmar,0.013,0.0022,0.0067,-0.0015,-0.0083,55.1
1Nmar,0.014,0.0015,0.0097,-0.0038,-0.0015,54.9
1Nmar,0.015,0.0045,0.0127,-0.0068,0.0067,54.7
1Nmar,0.016,0.003,0.0105,-0.006,0.006,54.5
1Nmar,0.017,0.0045,0.0007,-0.0098,-0.0015,54.3
1Nmar,0.018,0.003,-0.0053,-0.012,0.0022,54.1
1Nmar,0.019,0.0007,-0.0091,-0.0143,0.003,53.9
1Nmar,0.02,0.0007,-0.0105,-0.015,-0.003,53.7
1Nmar,0.021,-0.0008,-0.003,-0.0143,0.0,53.5
1Nmar,0.022,0.0,0.003,-0.0135,0.0067,53.2
1Nmar,0.023,0.0007,0.003,-0.0038,0.0097,53.0
1Nmar,0.024,0.0022,0.0,-0.0053,0.012,52.7
1Nmar,0.025,0.0052,-0.0008,-0.0105,0.0067,52.5
1Nmar,0.026,0.0052,-0.0008,-0.0165,-0.0068,52.2
1Nmar,0.027,0.009,0.003,-0.0225,-0.0248,52.0
1Nmar,0.028,0.0105,0.0067,-0.0225,-0.0315,51.7
1Nmar,0.029,0.012,0.0082,-0.0256,-0.0218,51.5
1Nmar,0.03,0.0105,0.009,-0.0278,-0.0068,51.2
1Nmar,0.031,0.0105,0.0067,-0.024,0.0082,50.9
1Nmar,0.032,0.0112,0.0082,-0.0181,0.0217,50.7
1Nmar,0.033,0.0127,0.009,-0.0181,0.0262,50.4
1Nmar,0.034,0.0165,0.0075,-0.0173,0.0232,50.2
1Nmar,0.035,0.0135,0.0052,-0.0165,0.006,49.9
1Nmar,0.036,0.0127,0.0052,-0.0128,-0.0263,49.7
1Nmar,0.037,0.009,0.009,-0.0038,-0.0608,49.5
1Nmar,0.038,0.0082,0.015,-0.0053,-0.0713,49.2
1Nmar,0.039,0.0045,0.0142,-0.0098,-0.0346,49.0
1Nmar,0.04,0.0015,0.009,-0.0128,0.0135,48.6
1Nmar,0.041,0.003,0.0067,-0.0135,0.057,48.4
1Nmar,0.042,0.0007,0.0022,-0.0105,0.0817,48.1
